,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
331,1011235,Dog Brother #1,9,2,10,1
453,1009322,Goblin Queen,9,7,9,1
1422,1009706,Warstar,9,6,5,1
307,1010717,Debrii,9,3,15,2
1425,1011133,Weapon Omega,9,5,10,1
476,1011400,H.A.M.M.E.R.,8,5,11,1
723,1010851,Mach IV,8,4,14,1
303,1011037,Deathcry,8,4,7,3
251,1011353,Cosmo (dog),8,7,8,1
1102,1009572,Serpent Society,8,6,9,3
1440,1010994,Wild Child (Age of Apocalypse),8,3,7,1
541,1009358,Hussar,8,5,5,1
7,1009149,Abyss,8,3,8,1
947,1010734,Peter Quill,7,5,6,1
1391,1011106,Venus (Siren),7,5,9,2
735,1010867,Magdalene,7,3,9,1
1153,1010745,Sister Grimm,7,3,7,1
901,1010797,Nitro,7,6,6,1
1367,1010862,Unicorn,7,3,12,1
828,1011370,Molten Man,7,4,7,1
1244,1010981,Sunfire (Age of Apocalypse),7,3,6,1
843,1011088,Morlun,7,5,12,2
1072,1011126,Sally Floyd,7,3,6,1
153,1011119,"Bob, Agent of Hydra",7,6,8,1
1137,1009587,Shriek,7,3,8,1
219,1009231,Cerebro,7,4,8,1
1267,1011149,Tana Nile,6,2,6,1
395,1011213,Feral,6,4,6,1
57,1010773,Arachne,6,2,8,1
1268,1010713,Tarantula (Luis Alvarez),6,3,7,1
1264,1010753,Talkback (Chase Stein),6,3,6,1
581,1009487,Iron Patriot,6,5,7,3
181,1009218,Calypso,6,3,6,1
697,1011414,Loa,6,3,11,1
1014,1011154,Ravenous,5,2,5,1
310,1011071,Demogoblin,5,3,5,1
1157,1011157,Skreet,5,3,4,1
1139,1010848,Silhouette,5,4,7,2
969,1009503,Prism,5,4,5,1
653,1011147,Korath,5,3,5,1
619,1011033,Joystick,5,5,5,1
539,1010675,Humbug,5,3,5,1
1003,1010964,Quicksilver (Age of Apocalypse),4,3,3,1
1241,1011212,Sugar Man,4,2,4,1
1354,1011315,U-Foes,4,3,6,1
861,1010826,MVP,4,3,6,1
205,1010143,Caretaker,4,2,4,1
18,1011176,Ajak,4,1,8,1
1258,1010982,Swordsman (Jaques Duquesne),4,2,4,1
673,1011092,Leech,4,2,4,2
17,1011136,Air-Walker (Gabriel Lan),4,3,3,1
